4,3,91
10,2,86
22,6,69
19,5,70
25,5,34
40,12,24
12,3,17
12,6,15
15,3,51
2,1,96
5,5,85
3,1,94
5,4,89
5,1,91
3,0,94
23,3,70
17,4,68
2,1,92
8,1,88
20,5,63
18,4,60
13,4,81
12,3,61
2,2,87
6,3,64
4,1,75
6,3,88
14,5,54
14,4,64
21,3,71
8,4,69
4,2,93
17,4,64
2,2,95
5,1,93
6,4,87
6,1,89
17,8,71
20,5,72
14,3,81
11,4,82
11,2,78
22,2,74
7,1,90
21,4,73
19,4,70
26,2,71
17,4,72
12,2,84
27,4,67
18,4,69
25,6,49
12,4,61
3,0,90
14,2,67
1,2,94
6,1,89
25,6,67
7,1,87
10,5,82
3,2,93
14,2,83
28,6,63
20,4,68
7,3,83
7,2,66
5,1,85
11,4,81
8,1,85
20,3,68
8,2,55
9,2,86
15,5,79
11,3,80
18,3,77
14,3,71
8,1,89
13,4,81
9,1,85
9,3,85
12,5,81
30,2,63
20,4,73
7,1,88
13,3,82
21,10,65
24,6,67
52,16,27
17,3,66
12,6,59
